GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,20,105,6,11,5,22,6,5,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,39,215,6,5,13,56,6,8,0,8
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,37,25,8,0,9,10,8,5,4,5
parking-system,com.parkit.parkingsystem.model,Ticket,0,45,0,0,0,19,0,13,0,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,9,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,52,230,3,3,10,54,3,6,0,6
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,15,92,2,2,5,24,2,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,15,45,3,3,6,20,3,6,0,6
